#
# Espardino Xpress VHDL core definition
# id: 0
# offers: 32 GPIO + 10 PWM

# resource, driver, base, mask, r/w
COREID,CID,0x00,0xE000,r		# this core identifier
PWM0DIV,FDIV,0x00,0x00ff,w	# frequency divider for PWM0 outputs
F27,GPIO,0x01,0x0001,rw		# GPIO at 0x01, TRIS at 0x01+1
F36,GPIO,0x01,0x0002,rw
F39,GPIO,0x01,0x0004,rw
F44,GPIO,0x01,0x0008,rw
F45,GPIO,0x01,0x0010,rw
F46,GPIO,0x01,0x0020,rw
F49,GPIO,0x01,0x0040,rw
F51,GPIO,0x01,0x0080,rw
F52,GPIO,0x01,0x0100,rw
F53,GPIO,0x01,0x0200,rw
F54,GPIO,0x01,0x0400,rw
F55,GPIO,0x01,0x0800,rw
F56,GPIO,0x01,0x1000,rw
F57,GPIO,0x01,0x2000,rw
F58,GPIO,0x01,0x4000,rw
F59,GPIO,0x01,0x8000,rw
F60,GPIO,0x03,0x0001,rw		# GPIO at 0x03, TRIS at 0x03+1
F61,GPIO,0x03,0x0002,rw
F62,GPIO,0x03,0x0004,rw
F63,GPIO,0x03,0x0008,rw
F64,GPIO,0x03,0x0010,rw
F65,GPIO,0x03,0x0020,rw
F66,GPIO,0x03,0x0040,rw
F67,GPIO,0x03,0x0080,rw
F68,GPIO,0x03,0x0100,rw
F69,GPIO,0x03,0x0200,rw
F70,GPIO,0x03,0x0400,rw
F71,GPIO,0x03,0x0800,rw
F72,GPIO,0x03,0x1000,rw
F73,GPIO,0x03,0x2000,rw
F74,GPIO,0x03,0x4000,rw
F75,GPIO,0x03,0x8000,rw
F77,PWM0,0x04,0xffff,w
F83,PWM0,0x05,0xffff,w
F84,PWM0,0x06,0xffff,w
F85,PWM0,0x07,0xffff,w
F86,PWM0,0x08,0xffff,w
F87,PWM0,0x09,0xffff,w
F92,PWM0,0x0a,0xffff,w
F93,PWM0,0x0b,0xffff,w
F94,PWM0,0x0c,0xffff,w
F95,PWM0,0x0d,0xffff,w
